"Genus","Phylum","Subphylum","class","Family","Sp","Strain","Assembly","Phyla"
"1","Aaosphaeria","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"arxii","CBS.175.79","GCA_010015735.1",1
"2","Aaosphaeria","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"arxii","CBS.175.79","GCF_010015735.1",1
"3","Aaosphaeria","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"pasadenensis","FJI-L9-BK-P1","GCA_022813625.1",1
"4","Acephala","Ascomycota","Pezizomycotina","Leotiomycetes",NA,"macrosclerotiorum","EW76-UTF0540","GCA_014904845.1",1
"5","Achaetomium","Ascomycota","Pezizomycotina","Sordariomycetes","Chaetomiaceae","macrosporum","CBS.532.94","GCA_033296875.1",1
"6","Acidomyces","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"sp.","FRIK2901","GCA_003545705.1",1
"7","Acidomyces","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"richmondensis","BFW","GCA_001592465.1",1
"8","Acidomyces","Ascomycota","Pezizomycotina","Dothideomycetes",NA,"sp.",NA,"GCA_001572075.1",1
"9","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes","Plectosphaerellaceae","sp.","FKII-L8-BK-P5","GCA_020087035.1",1
"10","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes","Plectosphaerellaceae","sp.",NA,"GCA_021347865.1",1
"11","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes",NA,"sp.","FKII-L8-BK-P5","GCA_020087035.1",1
"12","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes",NA,"sp.",NA,"GCA_021347865.1",1
"13","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes","Sarocladiaceae","sp.","FKII-L8-BK-P5","GCA_020087035.1",1
"14","Acremonium","Ascomycota","Pezizomycotina","Sordariomycetes","Sarocladiaceae","sp.",NA,"GCA_021347865.1",1
"15","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","solani",NA,"GCA_002952155.1",1
"16","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","longipes","CBS.540.94","GCA_019059555.1",1
"17","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","brassicae","J3","GCA_004936725.1",1
"18","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","burnsii","CBS107.38","GCA_013036055.1",1
"19","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","burnsii","CBS107.38","GCF_013036055.1",1
"20","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","incomplexa","BMP.0042","GCA_024043165.1",1
"21","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","incomplexa","BMP.0042","GCF_024043165.1",1
"22","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","triticimaculans","BMP.0046","GCA_023758025.1",1
"23","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","triticimaculans","BMP.0046","GCF_023758025.1",1
"24","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","arbusti","BMP.1465","GCA_024043155.1",1
"25","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","arbusti","BMP.1465","GCF_024043155.1",1
"26","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","cf.","R-IC-06-P1","GCA_020284155.1",1
"27","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","ventricosa","BMP.2768","GCA_023758065.1",1
"28","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","ventricosa","BMP.2768","GCF_023758065.1",1
"29","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","novae-zelandiae","BMP.2774","GCA_023758075.1",1
"30","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","novae-zelandiae","BMP.2774","GCF_023758075.1",1
"31","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","infectoria","BMP.0036","GCA_024043175.1",1
"32","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","infectoria","BMP.0036","GCF_024043175.1",1
"33","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","viburni","BMP.2772","GCA_023758015.1",1
"34","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","viburni","BMP.2772","GCF_023758015.1",1
"35","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","metachromatica","BMP.0045","GCA_023757995.1",1
"36","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","metachromatica","BMP.0045","GCF_023757995.1",1
"37","Alternaria","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporaceae","hordeiaustralica","BMP.2776","GCA_023758085.1",1
