Phylum,Assembly
Basidiomycota,GCA_022606235.1
Basidiomycota,GCA_003144295.1
Basidiomycota,GCF_003144295.1
Basidiomycota,GCA_029945375.1
Basidiomycota,GCA_000300575.1
Basidiomycota,GCF_000300575.1
Basidiomycota,GCA_029719445.1
Basidiomycota,GCA_030246685.1
Basidiomycota,GCA_022315185.1
Basidiomycota,GCA_943193715.1
Basidiomycota,GCA_001682475.1
Basidiomycota,GCA_000300575.2
Basidiomycota,GCA_014872705.1
Basidiomycota,GCA_008271545.1
Basidiomycota,GCA_943193725.1
Basidiomycota,GCA_006491665.1
Basidiomycota,GCA_000300555.1
Basidiomycota,GCF_000300555.1
Basidiomycota,GCA_013053245.1
Basidiomycota,GCA_027627235.1
Basidiomycota,GCA_013376435.1
Basidiomycota,GCA_015484485.1
Basidiomycota,GCA_003316655.1
Basidiomycota,GCA_003314395.1
Basidiomycota,GCA_003314695.1
Basidiomycota,GCA_000827485.1
Basidiomycota,GCA_001983365.1
Basidiomycota,GCA_002554575.1
Basidiomycota,GCA_015039365.1
Basidiomycota,GCA_032173475.1
Basidiomycota,GCA_003316615.1
Basidiomycota,GCA_001691775.3
Basidiomycota,GCA_001691785.3
Basidiomycota,GCA_023014435.1
Basidiomycota,GCA_023014455.1
Basidiomycota,GCA_023014405.1
Basidiomycota,GCA_023014395.1
Basidiomycota,GCA_020011035.1
Basidiomycota,GCA_023014475.1
Basidiomycota,GCA_001691755.2
Basidiomycota,GCA_000497225.1
Basidiomycota,GCA_001691765.1
Basidiomycota,GCA_001983385.1
Basidiomycota,GCA_022376435.1
Basidiomycota,GCA_022385825.1
Basidiomycota,GCA_012932865.1
Basidiomycota,GCA_022598655.1
Basidiomycota,GCA_022598685.1
Basidiomycota,GCA_022598625.1
Basidiomycota,GCA_022598595.1
Basidiomycota,GCA_003413585.1
Basidiomycota,GCA_004802725.1
Basidiomycota,GCA_902506015.1
Basidiomycota,GCA_012064365.1
Basidiomycota,GCA_030435635.1
Basidiomycota,GCA_030407055.1
Basidiomycota,GCA_022818035.1
Basidiomycota,GCA_030407015.1
Basidiomycota,GCA_030407065.1
Basidiomycota,GCA_030435615.1
Basidiomycota,GCA_030435655.1
Basidiomycota,GCA_900157415.1
Basidiomycota,GCA_022818075.1
Basidiomycota,GCA_028551335.1
Basidiomycota,GCA_001679825.1
Basidiomycota,GCA_002307695.1
Basidiomycota,GCA_026212265.1
Basidiomycota,GCA_900157425.1
Basidiomycota,GCA_013427175.2
Basidiomycota,GCA_002307675.1
Basidiomycota,GCA_037042885.1
Basidiomycota,GCA_037042915.1
Basidiomycota,GCA_002092955.1
Basidiomycota,GCA_030578095.1
Basidiomycota,GCA_002287115.1
Basidiomycota,GCA_003316125.1
Basidiomycota,GCA_008368385.1
Basidiomycota,GCA_000265015.1
Basidiomycota,GCF_000265015.1
Basidiomycota,GCA_007026445.1
Basidiomycota,GCA_019915015.1
Basidiomycota,GCA_019914985.1
Basidiomycota,GCA_019915035.1
Basidiomycota,GCA_022160275.1
Basidiomycota,GCA_000826855.1
Basidiomycota,GCA_027924225.1
Basidiomycota,GCA_015179015.1
Basidiomycota,GCA_018397855.1
Basidiomycota,GCA_025782845.1
Basidiomycota,GCA_019096195.1
Basidiomycota,GCA_003316055.1
Basidiomycota,GCA_003313885.1
Basidiomycota,GCA_003316205.1
Basidiomycota,GCA_003316035.1
Basidiomycota,GCA_003313155.1
Basidiomycota,GCA_014925795.1
Basidiomycota,GCA_022837065.1
Basidiomycota,GCA_003316165.1
Basidiomycota,GCA_025371055.2
Basidiomycota,GCA_000697705.1
Basidiomycota,GCA_001630345.1
Basidiomycota,GCA_001632435.1
Basidiomycota,GCA_015039405.1
Basidiomycota,GCF_015039405.1
Basidiomycota,GCA_025174535.1
Basidiomycota,GCA_003314235.1
Basidiomycota,GCA_003521295.1
Basidiomycota,GCA_003314335.1
Basidiomycota,GCA_003314295.1
Basidiomycota,GCA_003144195.1
Basidiomycota,GCF_003144195.1
Basidiomycota,GCA_900000165.1
Basidiomycota,GCA_016906575.1
Basidiomycota,GCA_009078325.1
Basidiomycota,GCA_037039685.1
Basidiomycota,GCA_015039395.1
Basidiomycota,GCA_019616945.1
Basidiomycota,GCA_037042815.1
Basidiomycota,GCA_019623705.1
Basidiomycota,GCA_019616345.1
Basidiomycota,GCA_025200755.1
Basidiomycota,GCA_019616325.1
Basidiomycota,GCA_019677335.1
Basidiomycota,GCA_019677385.1
Basidiomycota,GCA_019677355.1
Basidiomycota,GCA_019616915.1
Basidiomycota,GCA_016906555.1
Basidiomycota,GCA_012932095.1
Basidiomycota,GCA_001969225.1
Basidiomycota,GCA_900068955.1
Basidiomycota,GCA_000271625.1
Basidiomycota,GCF_000271625.1
Basidiomycota,GCA_951394405.1
Basidiomycota,GCA_027627275.1
Basidiomycota,GCA_004369175.1
Basidiomycota,GCA_951394415.1
Basidiomycota,
Basidiomycota,
Basidiomycota,GCA_004369085.1
Basidiomycota,GCA_020736565.1
Basidiomycota,GCA_900156845.1
Basidiomycota,
Basidiomycota,GCA_034638255.1
Basidiomycota,GCA_003316025.1
Basidiomycota,GCA_014925845.1
Basidiomycota,GCA_015657495.1
Basidiomycota,GCA_001179765.1
Basidiomycota,GCA_021029105.1
Basidiomycota,GCA_015951145.1
Basidiomycota,GCA_000500245.1
Basidiomycota,GCA_000464975.1
Basidiomycota,GCA_000500775.1
Basidiomycota,GCA_004379715.1
Basidiomycota,GCA_036937015.1
Basidiomycota,GCA_036936985.1
Basidiomycota,GCA_036417295.1
Basidiomycota,GCA_036427605.1
Basidiomycota,GCA_036426225.1
Basidiomycota,GCA_002954075.1
Basidiomycota,GCF_002954075.1
Basidiomycota,GCA_000091045.1
Basidiomycota,GCF_000091045.1
Basidiomycota,GCA_000185945.1
Basidiomycota,GCF_000185945.1
Basidiomycota,GCA_006352305.1
Basidiomycota,GCA_009650685.1
Basidiomycota,GCA_001720205.1
Basidiomycota,GCF_001720205.1
Basidiomycota,GCA_001720155.1
Basidiomycota,GCF_001720155.1
Basidiomycota,GCA_000855695.1
Basidiomycota,GCA_000835755.1
Basidiomycota,GCA_017654825.1
Basidiomycota,GCA_026538325.1
Basidiomycota,GCA_026538405.1
Basidiomycota,GCA_026538335.1
Basidiomycota,GCA_026538315.1
Basidiomycota,GCA_024271845.1
