Genus,Phylum,Sp,Strain,Assembly,Phyla
Abortiporus,Basidiomycota,biennis,CIRM-BRFM.1778,GCA_022606235.1,1
Acaromyces,Basidiomycota,ingoldii,MCA.4198,GCA_003144295.1,1
Acaromyces,Basidiomycota,ingoldii,MCA.4198,GCF_003144295.1,1
Agaricus,Basidiomycota,subrufescens,ABL.49,GCA_029945375.1,1
Agaricus,Basidiomycota,bisporus,H97,GCA_000300575.1,1
Agaricus,Basidiomycota,bisporus,H97,GCF_000300575.1,1
Agaricus,Basidiomycota,blazei,JA-15036,GCA_029719445.1,1
Agaricus,Basidiomycota,bitorquis,BH01,GCA_030246685.1,1
Agaricus,Basidiomycota,sinodeliciosus,ZRL20160001-S65,GCA_022315185.1,1
Agaricus,Basidiomycota,bisporus,NA,GCA_943193715.1,1
Agaricus,Basidiomycota,bisporus,H39,GCA_001682475.1,1
Agaricus,Basidiomycota,bisporus,H97,GCA_000300575.2,1
Agaricus,Basidiomycota,bisporus,H119_p4,GCA_014872705.1,1
Agaricus,Basidiomycota,bisporus,AB58,GCA_008271545.1,1
Agaricus,Basidiomycota,bisporus,NA,GCA_943193725.1,1
Agaricus,Basidiomycota,bisporus,ARP23,GCA_006491665.1,1
Agaricus,Basidiomycota,bisporus,JB137-s8,GCA_000300555.1,1
Agaricus,Basidiomycota,bisporus,JB137-s8,GCF_000300555.1,1
Agrocybe,Basidiomycota,pediades,CBS.102.39,GCA_013053245.1,1
Agrocybe,Basidiomycota,chaxingu,MP-N11,GCA_027627235.1,1
Agrocybe,Basidiomycota,cylindracea,AC9,GCA_013376435.1,1
Agrocybe,Basidiomycota,pediades,AH.40210,GCA_015484485.1,1
Agrocybe,Basidiomycota,cylindracea,MG21,GCA_003316655.1,1
Albatrellus,Basidiomycota,ellisii,MG60,GCA_003314395.1,1
Albatrellus,Basidiomycota,sp.,MG142,GCA_003314695.1,1
Amanita,Basidiomycota,muscaria,Koide.BX008,GCA_000827485.1,1
Amanita,Basidiomycota,bisporigera,Ingham01,GCA_001983365.1,1
Amanita,Basidiomycota,thiersii,SKay4041,GCA_002554575.1,1
Amanita,Basidiomycota,rubescens,Prilba,GCA_015039365.1,1
Amanita,Basidiomycota,phalloides,NA,GCA_032173475.1,1
Amanita,Basidiomycota,pseudoporphyria,MG37,GCA_003316615.1,1
Amanita,Basidiomycota,inopinata,Kibby_2008,GCA_001691775.3,1
Amanita,Basidiomycota,brunnescens,Koide.BX004,GCA_001691785.3,1
Amanita,Basidiomycota,fuliginea,LH00002,GCA_023014435.1,1
Amanita,Basidiomycota,exitialis,LH00005,GCA_023014455.1,1
Amanita,Basidiomycota,molliuscula,LH00009,GCA_023014405.1,1
Amanita,Basidiomycota,rimosa,LH00003,GCA_023014395.1,1
Amanita,Basidiomycota,subjunquillea,LH00001,GCA_020011035.1,1
Amanita,Basidiomycota,pallidorosea,LH00007,GCA_023014475.1,1
Amanita,Basidiomycota,polypyramis,BW_CC,GCA_001691755.2,1
Amanita,Basidiomycota,jacksonii,NA,GCA_000497225.1,1
Amanita,Basidiomycota,muscaria,Koide.BX008,GCA_001691765.1,1
Amanita,Basidiomycota,phalloides,Alameda01,GCA_001983385.1,1
Amylocystis,Basidiomycota,lapponica,SKaAmylap13,GCA_022376435.1,1
Amylostereum,Basidiomycota,chailletii,DWAch2,GCA_022385825.1,1
Amylostereum,Basidiomycota,areolatum,HG-01,GCA_012932865.1,1
Antrodia,Basidiomycota,cinnamomea,V5,GCA_022598655.1,1
Antrodia,Basidiomycota,cinnamomea,W2,GCA_022598685.1,1
Antrodia,Basidiomycota,cinnamomea,W1,GCA_022598625.1,1
Antrodia,Basidiomycota,cinnamomea,V7,GCA_022598595.1,1
Antrodia,Basidiomycota,cinnamomea,PZ,GCA_003413585.1,1
Antrodiella,Basidiomycota,citrinella,DSM.108506,GCA_004802725.1,1
Armillaria,Basidiomycota,ostoyae,C18/9,GCA_902506015.1,1
Armillaria,Basidiomycota,gallica,012m,GCA_012064365.1,1
Armillaria,Basidiomycota,borealis,FPL87.14,GCA_030435635.1,1
Armillaria,Basidiomycota,mellea,ELDO17,GCA_030407055.1,1
Armillaria,Basidiomycota,solidipes,NA,GCA_022818035.1,1
Armillaria,Basidiomycota,fumosa,CBS.122221,GCA_030407015.1,1
Armillaria,Basidiomycota,nabsnona,CMW6904,GCA_030407065.1,1
Armillaria,Basidiomycota,luteobubalina,HWK02,GCA_030435615.1,1
Armillaria,Basidiomycota,novae-zelandiae,ICMP.16352,GCA_030435655.1,1
Armillaria,Basidiomycota,cepistipes,B5,GCA_900157415.1,1
Armillaria,Basidiomycota,altimontana,NA,GCA_022818075.1,1
Armillaria,Basidiomycota,sp.,CMW.4456,GCA_028551335.1,1
Armillaria,Basidiomycota,fuscipes,CMW2740,GCA_001679825.1,1
Armillaria,Basidiomycota,gallica,Ar21-2,GCA_002307695.1,1
Armillaria,Basidiomycota,gallica,Jzi34,GCA_026212265.1,1
Armillaria,Basidiomycota,ostoyae,C18/9,GCA_900157425.1,1
Armillaria,Basidiomycota,borealis,AB13-TR4-IP16,GCA_013427175.2,1
Armillaria,Basidiomycota,solidipes,28-4,GCA_002307675.1,1
Auricularia,Basidiomycota,sp.,M12,GCA_037042885.1,1
Auricularia,Basidiomycota,sp.,M13,GCA_037042915.1,1
Auricularia,Basidiomycota,auricula-judae,B14-8,GCA_002092955.1,1
Auricularia,Basidiomycota,cornea,ACW001,GCA_030578095.1,1
Auricularia,Basidiomycota,heimuer,Dai.13782,GCA_002287115.1,1
Auricularia,Basidiomycota,polytricha,MG66,GCA_003316125.1,1
Auricularia,Basidiomycota,cornea,CCMJ2827,GCA_008368385.1,1
Auricularia,Basidiomycota,subglabra,TFB-10046.SS5,GCA_000265015.1,1
Auricularia,Basidiomycota,subglabra,TFB-10046.SS5,GCF_000265015.1,1
Auriculariopsis,Basidiomycota,ampla,NL-1724,GCA_007026445.1,1
Auriscalpium,Basidiomycota,vulgare,CBS.236.39,GCA_019915015.1,1
Auriscalpium,Basidiomycota,microsporum,AU-H-210,GCA_019914985.1,1
Auriscalpium,Basidiomycota,orientale,AU-Y-A,GCA_019915035.1,1
Auriscalpium,Basidiomycota,vulgare,FP105234-sp,GCA_022160275.1,1
Basidioascus,Basidiomycota,undulatus,DAOM.241956,GCA_000826855.1,1
Bjerkandera,Basidiomycota,adusta,1-Dec,GCA_027924225.1,1
Boletus,Basidiomycota,edulis,BED1,GCA_015179015.1,1
Boletus,Basidiomycota,reticuloceps,BR01,GCA_018397855.1,1
Boletus,Basidiomycota,coccyginus,2016PMI039,GCA_025782845.1,1
Boletus,Basidiomycota,sp.,NGJ,GCA_019096195.1,1
Boletus,Basidiomycota,speciosus,MG10,GCA_003316055.1,1
Boletus,Basidiomycota,sp.,MG55,GCA_003313885.1,1
Boletus,Basidiomycota,bicolor,MG1,GCA_003316205.1,1
Boletus,Basidiomycota,subvelutipes,MG31,GCA_003316035.1,1
Boletus,Basidiomycota,sp.,MG95,GCA_003313155.1,1
Boletus,Basidiomycota,edulis,Prilba,GCA_014925795.1,1
Boletus,Basidiomycota,edulis,BD747,GCA_022837065.1,1
Boletus,Basidiomycota,edulis,MG6,GCA_003316165.1,1
Boletus,Basidiomycota,subvelutipes,NA,GCA_025371055.2,1
Botryobasidium,Basidiomycota,botryosum,FD-172.SS1,GCA_000697705.1,1
Calocera,Basidiomycota,viscosa,TUFC12733,GCA_001630345.1,1
