Row,Genus,Phylum,Subphylum,class,Family,Sp,Strain,Assembly,NA
12000,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036295.2,1
12001,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122555.1,1
12002,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036475.2,1
12003,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123125.1,1
12004,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036335.2,1
12005,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123915.1,1
12006,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036455.2,1
12007,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123795.1,1
12008,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036095.2,1
12009,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122235.1,1
12010,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036235.2,1
12011,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123935.1,1
12012,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036115.2,1
12013,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123435.1,1
12014,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036155.2,1
12015,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122215.1,1
12016,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949121745.1,1
12017,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036135.2,1
12018,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123835.1,1
12019,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036175.2,1
12020,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123715.1,1
12021,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123195.1,1
12022,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,DJJ01,GCA_023375095.1,1
12023,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,MCN1500_3B,GCA_900178115.1,1
12024,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_030036315.2,1
12025,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949122505.1,1
12026,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949123295.1,1
12027,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1430,GCA_013183905.1,1
12028,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2375,GCA_030267605.1,1
12029,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_949121635.1,1
12030,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2044,GCA_030267525.1,1
12031,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.1346,GCA_030267465.1,1
12032,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,WLP500,GCA_013181185.1,1
12033,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.2043,GCA_030267645.1,1
12034,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029301735.1,1
12035,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NBRC.110416,GCA_030267545.1,1
12036,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI795,GCA_013183875.1,1
12037,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI767,GCA_013183865.1,1
12038,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029290615.1,1
12039,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_946466885.1,1
12040,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI2911,GCA_013181305.1,1
12041,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NCYC1414,GCA_947343375.1,1
12042,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1427,GCA_013181225.1,1
12043,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900178035.1,1
12044,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_946462225.1,1
12045,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_029300775.1,1
12046,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI935,GCA_013183845.1,1
12047,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,AWRI1432,GCA_013181245.1,1
12048,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900178055.1,1
12049,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,6P-33G-D373,GCA_001578385.1,1
12050,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900177965.1,1
12051,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,yHQL694,GCA_009667455.1,1
12052,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_900177955.1,1
12053,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,W303,GCA_001305865.1,1
12054,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,YJM428,GCA_011393095.1,1
12055,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Lalvin.L2056,GCA_001611835.1,1
12056,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Y9,GCA_011393125.1,1
12057,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,CLIB324,GCA_000192495.1,1
12058,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,Y10,GCA_000192375.1,1
12059,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,IL-01,GCA_013368685.1,1
12060,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NC-02,GCA_013368665.1,1
12061,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,CLIB382,GCA_000209345.1,1
12062,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,pastorianus,CBS.1174,GCA_013181535.1,1
12063,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,uvarum,S6U,GCA_013183795.1,1
12064,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,eubayanus,NA,GCA_937872545.1,1
12065,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1057,GCA_000256745.1,1
12066,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1062,GCA_000256785.1,1
12067,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1066,GCA_000256765.1,1
12068,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,kudriavzevii,FM1094,GCA_000256965.1,1
12069,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,FM1203,GCA_009667225.1,1
12070,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,eubayanus,yHQL565,GCA_009666965.1,1
12071,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,yHQL574,GCA_009666835.1,1
12072,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,F,GCA_025383845.1,1
12073,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,XP,GCA_029403705.1,1
12074,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,NA,GCA_000091065.2,1
12075,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetaceae,cerevisiae,S288C,GCA_022626425.1,1
12076,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,phalluae,GUCC.202006,GCA_020342235.1,1
12077,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,KPH12,GCA_001936155.1,1
12078,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,malanga,KCN26,GCA_004014935.1,1
12079,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,fibuligera,KJJ81,GCA_001936135.1,1
12080,Saccharomycopsis,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycopsidaceae,guyanensis,CBS.12914,GCA_030578595.1,1
