Phylum,Subphylum,Assembly
Ascomycota,Pezizomycotina,GCA_010015735.1
Ascomycota,Pezizomycotina,GCF_010015735.1
Ascomycota,Pezizomycotina,GCA_022813625.1
Ascomycota,Pezizomycotina,GCA_014904845.1
Ascomycota,Pezizomycotina,GCA_033296875.1
Ascomycota,Pezizomycotina,GCA_003545705.1
Ascomycota,Pezizomycotina,GCA_001592465.1
Ascomycota,Pezizomycotina,GCA_001572075.1
Ascomycota,Pezizomycotina,GCA_020087035.1
Ascomycota,Pezizomycotina,GCA_021347865.1
Ascomycota,Pezizomycotina,GCA_020087035.1
Ascomycota,Pezizomycotina,GCA_021347865.1
Ascomycota,Pezizomycotina,GCA_020087035.1
Ascomycota,Pezizomycotina,GCA_021347865.1
Ascomycota,Pezizomycotina,GCA_002952155.1
Ascomycota,Pezizomycotina,GCA_019059555.1
Ascomycota,Pezizomycotina,GCA_004936725.1
Ascomycota,Pezizomycotina,GCA_013036055.1
Ascomycota,Pezizomycotina,GCF_013036055.1
Ascomycota,Pezizomycotina,GCA_024043165.1
Ascomycota,Pezizomycotina,GCF_024043165.1
Ascomycota,Pezizomycotina,GCA_023758025.1
Ascomycota,Pezizomycotina,GCF_023758025.1
Ascomycota,Pezizomycotina,GCA_024043155.1
Ascomycota,Pezizomycotina,GCF_024043155.1
Ascomycota,Pezizomycotina,GCA_020284155.1
Ascomycota,Pezizomycotina,GCA_023758065.1
Ascomycota,Pezizomycotina,GCF_023758065.1
Ascomycota,Pezizomycotina,GCA_023758075.1
Ascomycota,Pezizomycotina,GCF_023758075.1
Ascomycota,Pezizomycotina,GCA_024043175.1
Ascomycota,Pezizomycotina,GCF_024043175.1
Ascomycota,Pezizomycotina,GCA_023758015.1
Ascomycota,Pezizomycotina,GCF_023758015.1
Ascomycota,Pezizomycotina,GCA_023757995.1
Ascomycota,Pezizomycotina,GCF_023757995.1
Ascomycota,Pezizomycotina,GCA_023758085.1
Ascomycota,Pezizomycotina,GCF_023758085.1
Ascomycota,Pezizomycotina,GCA_023757985.1
Ascomycota,Pezizomycotina,GCF_023757985.1
Ascomycota,Pezizomycotina,GCA_022609215.1
Ascomycota,Pezizomycotina,GCA_024291825.1
Ascomycota,Pezizomycotina,GCF_024291825.1
Ascomycota,Pezizomycotina,GCA_001642055.1
Ascomycota,Pezizomycotina,GCF_001642055.1
Ascomycota,Pezizomycotina,GCA_004156035.1
Ascomycota,Pezizomycotina,GCA_002796735.1
Ascomycota,Pezizomycotina,GCA_004154835.1
Ascomycota,Pezizomycotina,GCF_004154835.1
Ascomycota,Pezizomycotina,GCA_036971565.1
Ascomycota,Pezizomycotina,GCA_020736505.1
Ascomycota,Pezizomycotina,GCF_020736505.1
Ascomycota,Pezizomycotina,GCA_025504955.1
Ascomycota,Pezizomycotina,GCA_003574525.1
Ascomycota,Pezizomycotina,GCA_024321975.1
Ascomycota,Pezizomycotina,GCA_019702505.1
Ascomycota,Pezizomycotina,GCA_029783965.1
Ascomycota,Pezizomycotina,GCA_024606205.1
Ascomycota,Pezizomycotina,GCA_907166805.1
Ascomycota,Pezizomycotina,GCF_907166805.1
Ascomycota,Pezizomycotina,GCA_004156025.2
Ascomycota,Pezizomycotina,GCA_024043145.1
Ascomycota,Pezizomycotina,GCF_024043145.1
Ascomycota,Pezizomycotina,GCA_022814545.1
Ascomycota,Pezizomycotina,GCA_023621325.1
Ascomycota,Pezizomycotina,GCA_023758125.1
Ascomycota,Pezizomycotina,GCA_037044395.1
Ascomycota,Pezizomycotina,GCA_001950455.1
Ascomycota,Pezizomycotina,GCA_023758145.1
Ascomycota,Pezizomycotina,GCA_023758005.1
Ascomycota,Pezizomycotina,GCA_023621305.1
Ascomycota,Pezizomycotina,GCA_037044435.1
Ascomycota,Pezizomycotina,GCA_023621335.1
Ascomycota,Pezizomycotina,GCA_009289805.1
Ascomycota,Pezizomycotina,GCA_029891365.1
Ascomycota,Pezizomycotina,GCA_014751505.1
Ascomycota,Pezizomycotina,GCA_036768465.1
Ascomycota,Pezizomycotina,GCA_036768455.1
Ascomycota,Pezizomycotina,GCA_020085065.1
Ascomycota,Pezizomycotina,GCA_009932595.1
Ascomycota,Pezizomycotina,GCA_000256225.1
Ascomycota,Pezizomycotina,GCA_024043135.1
Ascomycota,Pezizomycotina,GCA_018104255.1
Ascomycota,Pezizomycotina,GCA_009650635.1
Ascomycota,Pezizomycotina,GCA_011420565.1
Ascomycota,Pezizomycotina,GCA_011420445.1
Ascomycota,Pezizomycotina,GCA_020736535.1
Ascomycota,Pezizomycotina,GCA_011420255.1
Ascomycota,Pezizomycotina,GCA_001443195.1
Ascomycota,Pezizomycotina,GCA_016097525.1
Ascomycota,Pezizomycotina,GCA_014154925.1
Ascomycota,Pezizomycotina,GCA_020449105.1
Ascomycota,Pezizomycotina,GCA_020736765.1
Ascomycota,Pezizomycotina,GCA_001572055.1
Ascomycota,Pezizomycotina,GCA_023079285.1
Ascomycota,Pezizomycotina,GCA_020736775.1
Ascomycota,Pezizomycotina,GCA_022345175.1
Ascomycota,Pezizomycotina,GCA_020736745.1
Ascomycota,Pezizomycotina,GCA_022344325.1
Ascomycota,Pezizomycotina,GCA_022344405.1
Ascomycota,Pezizomycotina,GCA_020736755.1
Ascomycota,Pezizomycotina,GCA_022345285.1
Ascomycota,Pezizomycotina,GCA_022344695.1
Ascomycota,Pezizomycotina,GCA_022355435.1
Ascomycota,Pezizomycotina,GCA_022344335.1
Ascomycota,Pezizomycotina,GCA_022344255.1
Ascomycota,Pezizomycotina,GCA_022345235.1
Ascomycota,Pezizomycotina,GCA_022344415.1
Ascomycota,Pezizomycotina,GCA_022344155.1
Ascomycota,Pezizomycotina,GCA_022345105.1
Ascomycota,Pezizomycotina,GCA_022345075.1
Ascomycota,Pezizomycotina,GCA_022344705.1
Ascomycota,Pezizomycotina,GCA_022344835.1
Ascomycota,Pezizomycotina,GCA_022344995.1
Ascomycota,Pezizomycotina,GCA_004154755.1
Ascomycota,Pezizomycotina,GCA_022344365.1
Ascomycota,Pezizomycotina,GCA_022344575.1
Ascomycota,Pezizomycotina,GCA_022344855.1
Ascomycota,Pezizomycotina,GCA_022344125.1
Ascomycota,Pezizomycotina,GCA_022345095.1
Ascomycota,Pezizomycotina,GCA_022345165.1
Ascomycota,Pezizomycotina,GCA_022344235.1
Ascomycota,Pezizomycotina,GCA_022344825.1
Ascomycota,Pezizomycotina,GCA_022345305.1
Ascomycota,Pezizomycotina,GCA_022344205.1
Ascomycota,Pezizomycotina,GCA_022344295.1
Ascomycota,Pezizomycotina,GCA_022344765.1
Ascomycota,Pezizomycotina,GCA_022344465.1
Ascomycota,Pezizomycotina,GCA_022344435.1
Ascomycota,Pezizomycotina,GCA_022344265.1
Ascomycota,Pezizomycotina,GCA_022344555.1
Ascomycota,Pezizomycotina,GCA_022344145.1
Ascomycota,Pezizomycotina,GCA_022344655.1
Ascomycota,Pezizomycotina,GCA_022344135.1
Ascomycota,Pezizomycotina,GCA_022344895.1
Ascomycota,Pezizomycotina,GCA_022344165.1
Ascomycota,Pezizomycotina,GCA_022344485.1
Ascomycota,Pezizomycotina,GCA_022344625.1
Ascomycota,Pezizomycotina,GCA_022345185.1
Ascomycota,Pezizomycotina,GCA_022344985.1
Ascomycota,Pezizomycotina,GCA_022344355.1
Ascomycota,Pezizomycotina,GCA_022345335.1
Ascomycota,Pezizomycotina,GCA_022344745.1
