Phylum,Assembly
Basidiomycota,GCA_029719445.1
Basidiomycota,GCA_030246685.1
Basidiomycota,GCA_032173475.1
Basidiomycota,GCA_001691775.3
Basidiomycota,GCA_001691785.3
Basidiomycota,GCA_023014405.1
Basidiomycota,GCA_020011035.1
Basidiomycota,GCA_018397855.1
Basidiomycota,GCA_019096195.1
Basidiomycota,GCA_003316205.1
Basidiomycota,GCA_003316035.1
Basidiomycota,GCA_022837065.1
Basidiomycota,GCA_003316165.1
Basidiomycota,GCA_016906575.1
Basidiomycota,GCA_019616945.1
Basidiomycota,GCA_019623705.1
Basidiomycota,GCA_019616345.1
Basidiomycota,GCA_019616325.1
Basidiomycota,GCA_019677335.1
Basidiomycota,GCA_019677385.1
Basidiomycota,GCA_019677355.1
Basidiomycota,GCA_016906555.1
Basidiomycota,GCA_900068955.1
Basidiomycota,GCA_022606075.1
Basidiomycota,GCA_015501075.1
Basidiomycota,GCA_900068935.1
Basidiomycota,GCA_000143565.1
Basidiomycota,GCF_000143565.1
Basidiomycota,GCA_000827195.1
Basidiomycota,GCA_018417955.1
Basidiomycota,GCA_018417965.1
Basidiomycota,GCA_018423945.1
Basidiomycota,GCA_018423875.1
Basidiomycota,GCA_025766275.1
Basidiomycota,GCA_015025155.1
Basidiomycota,GCA_022376515.1
Basidiomycota,GCA_003315975.1
Basidiomycota,GCA_001563735.1
Basidiomycota,GCA_018851285.1
Basidiomycota,GCA_001950495.1
Basidiomycota,GCA_015501605.1
Basidiomycota,GCA_024663395.1
Basidiomycota,GCA_024613125.1
Basidiomycota,GCF_024613125.1
Basidiomycota,GCA_000827335.1
Basidiomycota,GCA_900068985.1
Basidiomycota,GCA_001013415.1
Basidiomycota,GCA_016906535.1
Basidiomycota,GCF_016906535.1
Basidiomycota,GCA_024722335.1
Basidiomycota,GCA_034770285.1
Basidiomycota,GCA_025504695.1
Basidiomycota,GCA_028551635.1
Basidiomycota,GCA_017311305.1
Basidiomycota,GCA_019297585.1
Basidiomycota,GCA_020746845.1
Basidiomycota,GCA_015342405.1
Basidiomycota,GCA_026766895.1
Basidiomycota,GCA_026686785.1
Basidiomycota,GCA_015342435.1
Basidiomycota,GCA_905219585.1
Basidiomycota,GCA_905219615.1
Basidiomycota,GCA_905219545.1
Basidiomycota,GCA_905219635.1
Basidiomycota,GCA_905219565.1
Basidiomycota,GCA_001286725.1
Basidiomycota,GCA_905219575.1
Basidiomycota,GCA_905219645.1
Basidiomycota,GCA_905232135.1
Basidiomycota,GCA_905219605.1
Basidiomycota,GCA_914271495.1
Basidiomycota,GCA_000350255.1
Basidiomycota,GCA_000695385.1
Basidiomycota,GCA_021018865.1
Basidiomycota,GCA_003268435.1
Basidiomycota,GCA_030142035.1
Basidiomycota,GCA_001658105.1
Basidiomycota,GCA_002995055.1
Basidiomycota,GCA_001882365.1
Basidiomycota,GCA_002995455.1
Basidiomycota,GCA_002995415.1
Basidiomycota,GCA_002995065.1
Basidiomycota,GCA_002995395.1
Basidiomycota,GCA_002995275.1
Basidiomycota,GCA_002994825.1
Basidiomycota,GCA_002995195.1
Basidiomycota,GCA_002995115.1
Basidiomycota,GCA_002995015.1
Basidiomycota,GCA_002995215.1
Basidiomycota,GCA_002995245.1
Basidiomycota,GCA_002995235.1
Basidiomycota,GCA_002995175.1
Basidiomycota,GCA_015178965.1
Basidiomycota,GCA_022496215.1
Basidiomycota,GCA_025769875.1
Basidiomycota,GCA_003316565.1
Basidiomycota,GCA_003313715.1
Basidiomycota,GCA_003313725.1
Basidiomycota,GCA_037178675.1
Basidiomycota,GCA_000218685.1
Basidiomycota,GCF_000218685.1
Basidiomycota,GCA_000218725.1
Basidiomycota,GCA_002891375.1
Basidiomycota,GCA_015708795.1
Basidiomycota,GCA_018466975.1
Basidiomycota,GCA_003851025.1
Basidiomycota,GCF_003851025.1
Basidiomycota,GCA_009812315.1
Basidiomycota,GCA_002607745.1
Basidiomycota,GCA_016628565.1
Basidiomycota,GCA_016647755.1
Basidiomycota,GCA_016647625.1
Basidiomycota,GCF_016647625.1
Basidiomycota,GCA_003313085.1
Basidiomycota,GCA_027596045.1
Basidiomycota,GCA_026075535.2
Basidiomycota,GCA_003313625.1
Basidiomycota,GCA_003316345.1
Basidiomycota,GCA_003314665.1
Basidiomycota,GCA_026213095.1
Basidiomycota,GCA_014904895.1
