EVE,ACC,Scaffold,Start,End,L,S_start,s_end
negative,GCA_027945535.1,JAOQAX010000044.1,44014,45441,1427,42365,47090
negative,GCA_032991405.1,JAVENW010000013.1,1916983,1919855,2872,1915130,1921708
positive,GCA_023509805.1,JAKELM010000019.1,65393,70118,4725,65393,70118
positive,GCA_026229875.1,JACWCA010001204.1,6208,10933,4725,6208,10933
