Phylum,ACC,Mbp,EVE_Status
Ascomycota,GCA_000151355.1,51.927682,Positive
Ascomycota,GCA_000313795.2,49.703497,Positive
Ascomycota,GCA_000465215.2,32.945941,Positive
Ascomycota,GCA_000497085.1,30.134942,Positive
Ascomycota,GCA_000687475.2,37.622617,Positive
Ascomycota,GCA_000769215.1,42.110671,Positive
Ascomycota,GCA_000800745.1,65.523996,Positive
Ascomycota,GCA_000836115.1,33.323769,Positive
Ascomycota,GCA_000965225.2,33.987284,Positive
Ascomycota,GCA_001481775.2,38.382194,Positive
Ascomycota,GCA_001483335.1,28.434067,Positive
Ascomycota,GCA_001644525.1,36.534003,Positive
Ascomycota,GCA_001644785.1,34.95476,Positive
Ascomycota,GCA_001653205.1,38.617348,Positive
Ascomycota,GCA_001653265.1,39.016364,Positive
Ascomycota,GCA_001672515.1,51.350067,Positive
Ascomycota,GCA_001684215.1,34.880734,Positive
Ascomycota,GCA_001913115.1,61.160353,Positive
Ascomycota,GCA_001936065.1,39.110784,Positive
Ascomycota,GCA_001936555.1,40.059863,Positive
Ascomycota,GCA_002249805.1,52.143869,Positive
Ascomycota,GCA_002927785.1,33.263224,Positive
Ascomycota,GCA_002968875.1,34.534184,Positive
Ascomycota,GCA_003025255.1,37.158698,Positive
Ascomycota,GCA_003070745.1,98.400281,Positive
Ascomycota,GCA_003116535.1,36.46932,Positive
Ascomycota,GCA_003574815.1,33.586609,Positive
Ascomycota,GCA_003698175.1,47.220494,Positive
Ascomycota,GCA_003788595.2,127.611054,Positive
Ascomycota,GCA_003946995.1,49.267964,Positive
Ascomycota,GCA_003953595.1,37.273525,Positive
Ascomycota,GCA_003953695.1,37.307818,Positive
Ascomycota,GCA_003957675.1,51.183739,Positive
Ascomycota,GCA_004786125.1,45.887973,Positive
Ascomycota,GCA_004916875.1,44.415336,Positive
Ascomycota,GCA_004917145.1,29.418888,Positive
Ascomycota,GCA_004917155.1,28.709568,Positive
Ascomycota,GCA_009801605.1,57.680531,Positive
Ascomycota,GCA_009803025.1,44.35647,Positive
Ascomycota,GCA_009804945.1,38.845031,Positive
Ascomycota,GCA_009805125.1,38.801684,Positive
Ascomycota,GCA_009805485.1,38.184436,Positive
Ascomycota,GCA_009805915.1,42.225213,Positive
Ascomycota,GCA_009806015.1,50.884519,Positive
Ascomycota,GCA_009806125.1,39.77627,Positive
Ascomycota,GCA_009806135.1,39.798532,Positive
Ascomycota,GCA_009806235.1,58.383694,Positive
Ascomycota,GCA_010015825.1,49.250356,Positive
Ascomycota,GCA_010093925.1,154.691619,Positive
Ascomycota,GCA_010211705.1,34.150647,Positive
Ascomycota,GCA_010405375.1,43.108517,Positive
Ascomycota,GCA_011034445.1,54.518375,Positive
Ascomycota,GCA_012959155.1,42.223853,Positive
Ascomycota,GCA_013305975.1,74.295833,Positive
Ascomycota,GCA_013436355.1,37.472009,Positive
Ascomycota,GCA_013623725.1,36.983888,Positive
Ascomycota,GCA_014065205.1,173.57892,Positive
Ascomycota,GCA_014065215.1,111.876104,Positive
Ascomycota,GCA_014235935.1,53.385986,Positive
Ascomycota,GCA_014235955.1,49.968568,Positive
Ascomycota,GCA_014898995.1,41.131265,Positive
Ascomycota,GCA_015178995.1,145.987104,Positive
Ascomycota,GCA_015179025.1,75.402848,Positive
Ascomycota,GCA_018104275.1,60.383369,Positive
Ascomycota,GCA_019395255.1,40.667414,Positive
Ascomycota,GCA_020498765.1,28.408859,Positive
Ascomycota,GCA_020499245.1,31.142455,Positive
Ascomycota,GCA_020499335.1,28.533623,Positive
Ascomycota,GCA_020499915.1,28.926566,Positive
Ascomycota,GCA_020500075.1,30.148781,Positive
Ascomycota,GCA_020500535.1,29.894272,Positive
Ascomycota,GCA_020500565.1,29.427645,Positive
Ascomycota,GCA_020501355.1,30.133591,Positive
Ascomycota,GCA_020501835.1,30.38403,Positive
