Name,length,Function,Exognous vs. Endogenous,Phylum
Fusarium_vanettenii_77-13-4,223,Rep,Endogenous,Ascomycota
CACQ02007842.1_2_,260,Rep,Endogenous,Ascomycota
Colletotrichum_higginsianum,259,Rep,Endogenous,Ascomycota
Pyrenophora_seminiperda_CCB06,306,Rep,Endogenous,Ascomycota
BAUL01000135.1_185_,429,Rep,Endogenous,Ascomycota
Paecilomyces_variotii_No._5,377,Rep,Endogenous,Ascomycota
Ustilaginoidea_virens,87,Rep,Endogenous,Ascomycota
Fusarium_avenaceum,386,Rep,Endogenous,Ascomycota
JUJX01000382.1_2_,183,Rep,Endogenous,Ascomycota
Exophiala_spinifera,202,Rep,Endogenous,Ascomycota
Ustilaginoidea_virens_2,87,Rep,Endogenous,Ascomycota
Trichoderma_gamsii,178,Rep,Endogenous,Ascomycota
LOQJ01002820.1_1_,254,Rep,Endogenous,Ascomycota
Stagonospora_sp._SRC1lsM3a,283,Rep,Endogenous,Ascomycota
Stagonospora_sp._SRC1lsM3a_2,283,Rep,Endogenous,Ascomycota
AEIW01000157.1_4_,392,Rep,Endogenous,Ascomycota
LSBH01000014.1_194_,215,Rep,Endogenous,Ascomycota
LSBH01000026.1_90_,215,Rep,Endogenous,Ascomycota
LSBI01000030.1_102_,215,Rep,Endogenous,Ascomycota
LSBI01000158.1_1_,317,Rep,Endogenous,Ascomycota
Colletotrichum_higginsianum_IMI_349063,259,Rep,Endogenous,Ascomycota
JTCZ01002698.1_1_,371,Rep,Endogenous,Ascomycota
KV880671.1_124_,373,Rep,Endogenous,Ascomycota
LNTI01004140.1_1_,410,Rep,Endogenous,Ascomycota
LNTN01005886.1_1_,389,Rep,Endogenous,Ascomycota
LECP01000355.1_1_,452,Rep,Endogenous,Ascomycota
NAPT01000186.1_11_,422,Rep,Endogenous,Ascomycota
MWMN01000514.1_1_,392,Rep,Endogenous,Ascomycota
LUFD01004626.1_1_,136,Rep,Endogenous,Ascomycota
Tuber_borchii,329,Rep,Endogenous,Ascomycota
Tuber_borchii_2,296,Rep,Endogenous,Ascomycota
Tuber_borchii_3,431,Rep,Endogenous,Ascomycota
QEIL01000302.1_16_,140,Rep,Endogenous,Ascomycota
QPHH01004803.1_1_,61,Rep,Endogenous,Ascomycota
Fusarium_kuroshium,223,Rep,Endogenous,Ascomycota
Choiromyces_venosus_120613-1,258,Rep,Endogenous,Ascomycota
