ACC,EVE_Count
GCA_000412615.1,1
GCA_000439145.3,1
GCA_000696975.1,3
GCA_000696995.1,1
GCA_000760515.2,1
GCA_001953115.1,5
GCA_001970855.1,7
GCA_002104895.1,18
GCA_002104945.1,14
GCA_002104975.1,8
GCA_002157105.1,14
GCA_003086715.1,9
GCA_003097675.1,1
GCA_003547095.1,1
GCA_003550305.1,3
GCA_003550325.1,34
GCA_003600395.1,1
GCA_003614735.1,1
GCA_004114325.1,1
GCA_006535955.1,2
GCA_009809945.1,10
GCA_015698045.1,2
GCA_015832245.1,1
GCA_016097715.1,3
GCA_016097735.1,4
GCA_016097755.1,4
GCA_016946835.1,10
GCA_024243955.1,1
GCA_025399215.1,1
GCA_025602905.1,5
GCA_027248405.1,1
GCA_027248865.1,1
GCA_027603945.1,1
GCA_027604185.1,3
GCA_910591765.1,1
GCA_910591775.1,19
GCA_910591825.1,1
GCA_910591835.1,5
GCA_910591915.1,6
GCA_910591945.1,4
GCA_910591965.1,6
GCA_910592135.1,4
GCA_910592205.1,3
GCA_910592215.1,2
GCA_910592285.1,14
GCA_910592325.1,18
GCA_910592345.1,1
GCA_000151355.1,1
GCA_000313795.2,1
GCA_000465215.2,1
GCA_000497085.1,1
GCA_000687475.2,1
GCA_000769215.1,1
GCA_000836115.1,1
GCA_000965225.2,1
GCA_001481775.2,1
GCA_001644525.1,1
GCA_001672515.1,1
GCA_003070745.1,3
GCA_003698175.1,1
GCA_003788595.2,1
GCA_003946995.1,1
GCA_003957675.1,2
GCA_004786125.1,1
GCA_004916875.1,1
GCA_010015825.1,1
GCA_010093925.1,1
GCA_010405375.1,1
GCA_012959155.1,1
GCA_014065205.1,5
GCA_014065215.1,1
GCA_014235935.1,1
GCA_014235955.1,1
GCA_015178995.1,1
GCA_015179025.1,4
GCA_020726465.1,1
GCA_020726525.1,2
GCA_020744115.1,1
GCA_020744255.1,5
GCA_020744425.1,2
GCA_020744455.1,1
GCA_020744515.1,1
GCA_020746995.1,1
GCA_021193595.1,2
GCA_021365285.1,1
GCA_021432625.1,1
GCA_021432635.1,1
GCA_022179045.1,1
GCA_022578605.1,1
GCA_022578905.1,1
GCA_022695795.1,1
GCA_022788425.1,1
GCA_023509805.1,1
GCA_024516245.1,1
GCA_024521645.1,1
GCA_025433615.1,1
GCA_026229875.1,1
GCA_028827245.1,1
GCA_029531795.1,1
GCA_033296975.1,1
GCA_034447905.1,1
GCA_954870535.1,1
GCF_000151355.1,1
GCF_000687475.1,1
GCF_000836115.1,1
GCF_001481775.2,1
GCF_001672515.1,1
GCF_020726525.1,2
GCF_020744255.1,5
GCF_021365285.1,1
GCF_028827245.1,1
GCF_034447905.1,1
GCA_000800745.1,1
GCA_001483335.1,1
GCA_001644785.1,1
GCA_001653205.1,1
GCA_001653265.1,1
GCA_001684215.1,1
GCA_001913115.1,1
GCA_001936065.1,1
GCA_001936555.1,1
GCA_002249805.1,1
GCA_002927785.1,1
GCA_002968875.1,1
GCA_003025255.1,1
GCA_003116535.1,1
GCA_003574815.1,1
GCA_003953595.1,1
GCA_003953695.1,1
GCA_004917145.1,1
GCA_004917155.1,1
GCA_009801605.1,1
GCA_009803025.1,1
GCA_009804945.1,1
GCA_009805125.1,1
GCA_009805485.1,1
GCA_009805915.1,1
GCA_009806015.1,1
GCA_009806125.1,1
GCA_009806135.1,1
GCA_009806235.1,1
GCA_010211705.1,1
GCA_011034445.1,1
GCA_013305975.1,1
GCA_013436355.1,1
GCA_013623725.1,1
GCA_014898995.1,1
GCA_018104275.1,1
GCA_019395255.1,1
GCA_020498765.1,1
GCA_020499245.1,1
GCA_020499335.1,1
GCA_020499915.1,1
GCA_020500075.1,1
GCA_020500535.1,1
GCA_020500565.1,1
GCA_020501355.1,1
GCA_020501835.1,1
GCA_020503065.1,1
GCA_022180325.1,1
GCA_022180345.1,1
GCA_023085745.1,1
GCA_023086925.1,1
GCA_023088165.1,1
GCA_023088355.1,1
GCA_023088785.1,1
GCA_023089405.1,1
GCA_023168115.2,1
GCA_023628515.1,1
GCA_023628595.1,1
GCA_023653635.1,1
GCA_024115165.1,1
GCA_024676795.1,1
GCA_025503015.1,1
GCA_028566675.1,1
GCA_029298715.1,1
GCA_030370815.1,1
GCA_030370825.1,1
GCA_030370845.1,1
GCA_030370895.1,1
GCA_030370915.1,1
GCA_030370945.1,1
GCA_030370985.1,1
GCA_030371025.1,1
GCA_030371055.1,1
GCA_030371075.1,1
GCA_030371095.1,1
GCA_030371145.1,1
GCA_030371195.1,1
GCA_030371205.1,1
GCA_030771935.1,1
GCA_030772035.1,1
GCA_030772855.1,1
GCA_030777585.1,1
GCA_030777605.1,1
GCA_030777725.1,1
GCA_030777905.1,1
GCA_030778565.1,1
GCA_030786985.1,1
GCA_030787925.1,1
GCA_032354195.1,1
GCA_033030565.1,1
GCA_037040925.1,1
GCA_037177735.1,1
GCA_037177765.1,1
GCA_900232065.1,1
GCA_937873235.1,1
GCA_963974035.1,1
GCA_000350255.1,13
GCA_001013415.1,2
GCA_001563735.1,1
GCA_001882365.1,5
GCA_001950495.1,2
GCA_002607745.1,1
GCA_002891375.1,2
GCA_002994825.1,3
GCA_002995015.1,5
GCA_002995055.1,1
GCA_002995065.1,1
GCA_002995115.1,3
GCA_002995175.1,1
GCA_002995195.1,1
GCA_002995215.1,1
GCA_002995235.1,2
GCA_002995245.1,5
GCA_002995275.1,4
GCA_002995395.1,1
GCA_002995415.1,1
GCA_002995455.1,1
GCA_003268435.1,2
GCA_003313085.1,3
GCA_003313625.1,2
GCA_003313715.1,1
GCA_003313725.1,1
GCA_003314665.1,8
GCA_003315975.1,1
GCA_003316035.1,3
GCA_003316165.1,2
GCA_003316205.1,1
GCA_003316345.1,3
GCA_003316565.1,1
GCA_009812315.1,1
GCA_015708795.1,4
GCA_017311305.1,15
GCA_018417955.1,2
GCA_018417965.1,4
GCA_018423875.1,2
GCA_018423945.1,3
GCA_018466975.1,2
GCA_018851285.1,2
GCA_019096195.1,2
GCA_019297585.1,7
GCA_019677335.1,112
GCA_019677355.1,49
GCA_019677385.1,8
GCA_020011035.1,1
GCA_021018865.1,1
GCA_022837065.1,4
GCA_023014405.1,4
GCA_024663395.1,11
GCA_024722335.1,4
GCA_025504695.1,38
GCA_026075535.2,2
GCA_026213095.1,1
GCA_026766895.1,21
GCA_028551635.1,1
GCA_029719445.1,1
GCA_030142035.1,21
GCA_030246685.1,1
GCA_034770285.1,1
GCA_037178675.1,1
GCA_900068935.1,2
GCA_900068955.1,1
GCA_900068985.1,1
GCA_905219565.1,3
GCA_905219575.1,2
GCA_905219585.1,1
GCA_905219605.1,1
GCA_905219615.1,2
GCA_905219635.1,4
GCA_905219645.1,1
GCA_905232135.1,2
GCA_914271495.1,2
GCA_000143565.1,2
GCA_000218685.1,2
GCA_000218725.1,2
GCA_000695385.1,2
GCA_000827195.1,1
GCA_000827335.1,2
GCA_001286725.1,1
GCA_001658105.1,1
GCA_001691775.3,1
GCA_001691785.3,1
GCA_003851025.1,3
GCA_014904895.1,1
GCA_015025155.1,1
GCA_015178965.1,2
GCA_015342405.1,2
GCA_015342435.1,1
GCA_015501075.1,2
GCA_015501605.1,1
GCA_016628565.1,2
GCA_016647625.1,2
GCA_016647755.1,4
GCA_016906535.1,16
GCA_016906555.1,55
GCA_016906575.1,92
GCA_018397855.1,1
GCA_019616325.1,1
GCA_019616345.1,1
GCA_019616945.1,1
GCA_019623705.1,2
GCA_020746845.1,6
GCA_022376515.1,1
GCA_022496215.1,1
GCA_022606075.1,2
GCA_024613125.1,3
GCA_025766275.1,6
GCA_025769875.1,2
GCA_026686785.1,1
GCA_027596045.1,1
GCA_032173475.1,1
GCA_905219545.1,1
GCF_000143565.1,1
GCF_000218685.1,2
GCF_003851025.1,3
GCF_016647625.1,2
GCF_016906535.1,16
GCF_024613125.1,3
GCA_900079185.1,0
GCA_002105175.1,0
GCA_019677255.1,0
GCA_019677225.1,0
GCA_004114255.1,0
GCA_910592055.1,0
GCA_016098155.1,0
GCA_016098105.1,0
GCA_026027325.1,0
GCA_027604645.1,0
GCA_027604705.1,0
GCA_000151295.1,0
GCA_030386735.1,0
GCA_018985225.1,0
GCA_001875675.1,0
GCA_000385875.2,0
GCA_007674295.1,0
GCA_014839865.1,0
GCA_002749535.1,0
GCA_025399235.1,0
GCA_024139495.1,0
GCA_024139485.1,0
GCA_024139405.1,0
GCA_024139415.1,0
GCA_024139395.1,0
GCA_024140265.1,0
GCA_024140195.1,0
GCA_024140565.1,0
GCA_024140155.1,0
GCA_024140375.1,0
GCA_024140245.1,0
GCA_024139275.1,0
GCA_002104905.1,0
GCA_000697455.1,0
GCA_000203795.1,0
GCA_002006685.2,0
GCA_025766325.1,0
GCA_002261195.1,0
GCA_025331445.1,0
GCA_025594325.1,0
GCA_025349905.2,0
GCA_027604625.1,0
GCA_003614705.1,0
GCA_027604245.1,0
GCA_027604345.1,0
GCA_027604605.1,0
GCA_016630905.1,0
GCA_001661515.1,0
GCA_002102555.1,0
GCA_003615045.1,0
GCA_025330725.1,0
GCA_025331435.1,0
GCA_027604005.1,0
GCA_027604305.1,0
GCA_023347005.1,0
GCA_025449115.1,0
GCA_027604105.1,0
GCA_006535975.1,0
GCA_025201725.1,0
GCA_025435555.1,0
GCA_016758965.1,0
GCA_025093555.1,0
GCA_025526935.1,0
GCA_027604065.1,0
GCA_004114315.1,0
GCA_027478935.1,0
GCA_027478445.1,0
GCA_027478835.1,0
GCA_027595785.1,0
GCA_027595765.1,0
GCA_027595805.1,0
GCA_027595825.1,0
GCA_002705745.1,0
GCA_025766245.1,0
GCA_025766305.1,0
GCA_025118155.1,0
GCA_001566745.1,0
GCA_000697335.1,0
GCA_014805705.1,0
GCA_000697015.1,0
GCA_000697215.1,0
GCA_017871115.1,0
GCA_025201675.1,0
GCA_025716815.1,0
GCA_016255985.1,0
GCA_016256075.1,0
GCA_027478255.1,0
GCA_025201705.1,0
GCA_016097935.1,0
GCA_910592015.1,0
GCA_000230595.3,0
GCA_000091225.2,0
GCA_000146465.1,0
GCA_000277815.3,0
GCA_000280035.2,0
GCA_003990785.1,0
GCA_000209485.1,0
GCA_026692725.1,0
GCA_024243835.1,0
GCA_002087915.1,0
GCA_014839935.2,0
GCA_015500005.1,0
GCA_015679585.1,0
GCA_015849335.1,0
GCA_020891255.1,0
GCA_027604725.1,0
GCA_027604545.1,0
GCA_025526915.1,0
GCA_025266875.1,0
GCA_025526975.1,0
GCA_910592005.1,0
GCA_003086725.1,0
GCA_027603645.1,0
GCA_025558075.1,0
GCA_025024155.1,0
GCA_016748015.1,0
GCA_027602005.1,0
GCA_027603065.1,0
GCA_025201335.1,0
GCA_027595885.1,0
GCA_027604505.1,0
GCA_001574975.1,0
GCA_001650995.1,0
GCA_025201375.1,0
GCA_025526955.1,0
GCA_015852425.1,0
GCA_025201355.1,0
GCA_022605425.1,0
GCA_004325065.1,0
GCA_015499985.1,0
GCA_015500155.1,0
GCA_015529515.1,0
GCA_015529505.1,0
GCA_015529795.1,0
GCA_025677825.1,0
GCA_002087885.1,0
GCA_002104935.1,0
GCA_000235945.1,0
GCA_025558095.1,0
GCA_027600665.1,0
GCA_003951145.1,0
GCA_003990745.1,0
GCA_027604465.1,0
GCA_027604405.1,0
GCA_025024165.1,0
GCA_029851405.1,0
GCA_000697475.1,0
GCA_025094155.1,0
GCA_008728235.1,0
GCA_023629895.1,0
GCA_002104995.1,0
GCA_020744185.1,0
GCA_029449235.1,0
GCA_015847235.1,0
GCA_016097855.1,0
GCA_016097895.1,0
GCA_019671135.1,0
GCA_023091675.1,0
GCA_002105155.1,0
GCA_027604685.1,0
GCA_015680635.1,0
GCA_025201845.1,0
GCA_022478985.1,0
GCA_021821965.1,0
GCA_015849295.1,0
GCA_029449245.1,0
GCA_011634665.1,0
GCA_015849325.1,0
GCA_015502445.1,0
GCA_015502465.1,0
GCA_015502475.1,0
GCA_015502455.1,0
GCA_015502485.1,0
GCA_015502575.1,0
GCA_015679695.1,0
GCA_015679515.1,0
GCA_015679545.1,0
GCA_015680625.1,0
GCA_016098085.1,0
GCA_016098025.1,0
GCA_016098045.1,0
GCA_016098165.1,0
GCA_016098035.1,0
GCA_022750515.1,0
GCA_025330735.1,0
GCA_001599575.1,0
GCA_000696895.1,0
GCA_000587855.1,0
GCA_027405735.1,0
GCA_000697295.1,0
GCA_000950595.1,0
GCA_010203745.1,0
GCA_016758945.1,0
GCA_016758985.1,0
GCA_943193625.1,0
GCA_025094135.1,0
GCA_025528875.1,0
GCA_000250985.1,0
GCA_001642395.1,0
GCA_001642415.1,0
GCA_021653875.1,0
GCA_024243985.1,0
GCA_024243935.1,0
GCA_024244025.1,0
GCA_024244045.1,0
GCA_024244035.1,0
GCA_024244115.1,0
GCA_024244105.1,0
GCA_024244095.1,0
GCA_024244055.1,0
GCA_000738915.1,0
GCA_025603075.1,0
GCA_028335825.1,0
GCA_000988165.1,0
GCA_000383075.1,0
GCA_000447185.1,0
GCA_027600645.1,0
GCA_025765595.1,0
GCA_003833135.1,0
GCA_017911155.1,0
GCA_000803265.1,0
GCA_023647555.1,0
GCA_002794465.1,0
GCA_025602915.1,0
GCA_025201805.1,0
GCA_025677815.1,0
GCA_027600675.1,0
GCA_027597005.1,0
GCA_001638985.2,0
GCA_022702545.1,0
GCA_027596945.1,0
GCA_025716855.1,0
GCA_025528865.1,0
GCA_003614145.1,0
GCA_025603285.1,0
GCA_000739165.1,0
GCA_015679535.1,0
GCA_016098005.1,0
GCA_015679605.1,0
GCA_015852385.1,0
GCA_015852495.1,0
GCA_025677895.1,0
GCA_027596195.1,0
GCA_025602895.1,0
GCA_027604665.1,0
GCA_025526995.1,0
GCA_001432165.1,0
GCA_027596845.1,0
GCA_025331425.1,0
GCA_025201865.1,0
GCA_027604365.1,0
GCA_027596175.1,0
GCA_002104985.1,0
GCA_000611695.1,0
GCA_900175165.2,0
GCA_003549995.1,0
GCA_019425655.1,0
GCA_021464375.1,0
GCA_021464405.1,0
GCA_021464525.1,0
GCA_027596075.1,0
GCA_024220505.1,0
GCA_002708625.1,0
GCA_000697035.1,0
GCA_000149305.1,0
GCA_025529335.1,0
GCA_003325435.1,0
GCA_000442015.1,0
GCA_000697055.1,0
GCA_000697495.1,0
GCA_018985235.1,0
GCA_003086735.1,0
GCA_025094145.1,0
GCA_027478575.1,0
GCA_000182565.2,0
GCA_006535965.1,0
GCA_025677835.1,0
GCA_001887945.1,0
GCA_005111325.1,0
GCA_002105135.1,0
GCA_000697355.1,0
GCA_013461545.1,0
GCA_023630315.1,0
GCA_023630325.1,0
GCA_003614755.1,0
GCA_025201365.1,0
GCA_006535985.1,0
GCA_025201345.1,0
GCA_014805555.1,0
GCA_000787465.1,0
GCA_027596035.1,0
GCA_000316135.1,0
GCA_004000155.1,0
GCA_025399195.1,0
GCA_016758905.1,0
GCA_016758895.1,0
GCA_021235465.1,0
GCA_025677805.1,0
GCA_000192795.1,0
GCA_000231115.1,0
GCA_001969505.1,0
GCA_004114245.1,0
GCA_025765615.1,0
GCA_025766255.1,0
GCA_000006255.1,0
GCA_000091045.1,0
GCA_000143185.2,0
GCA_000149245.3,0
GCA_000149385.1,0
GCA_000149925.1,0
GCA_000151525.2,0
GCA_000166175.1,0
GCA_000167175.1,0
GCA_000169275.1,0
GCA_000181695.2,0
GCA_000183025.1,0
GCA_000185945.1,0
GCA_000204055.1,0
GCA_000222205.2,0
GCA_000223505.1,0
GCA_000230245.1,0
GCA_000241205.2,0
GCA_000258745.1,0
GCA_000262775.1,0
GCA_000263375.1,0
GCA_000264905.1,0
GCA_000264995.1,0
GCA_000265015.1,0
GCA_000271565.1,0
GCA_000271585.1,0
GCA_000271605.1,0
GCA_000271625.1,0
GCA_000271645.1,0
GCA_000275845.1,0
GCA_000286035.1,0
GCA_000292625.1,0
GCA_000293215.1,0
GCA_000296255.1,0
GCA_000299215.2,0
GCA_000300555.1,0
GCA_000300575.1,0
GCA_000300575.2,0
GCA_000300595.1,0
GCA_000313525.1,0
GCA_000313545.1,0
GCA_000320585.2,0
GCA_000320785.2,0
GCA_000328475.2,0
GCA_000334115.1,0
GCA_000334475.1,0
GCA_000338015.2,0
GCA_000338035.1,0
GCA_000342525.1,0
GCA_000342545.1,0
GCA_000342565.1,0
GCA_000342625.1,0
GCA_000344635.1,0
GCA_000344655.2,0
GCA_000344685.1,0
GCA_000349305.2,0
GCA_000349905.1,0
GCA_000355865.1,0
GCA_000382605.1,0
GCA_000400465.1,0
GCA_000403515.1,0
GCA_000417875.1,0
GCA_000442785.1,0
GCA_000464645.1,0
GCA_000464975.1,0
GCA_000474995.1,0
GCA_000488995.1,0
GCA_000497225.1,0
