seq_id	start	end	strand	seq_id2	start2	end2	L
JAKELM010000019.1	2816	4726	-	JAVENW010000013.1	1854	3524	1573
JAKELM010000019.1	0	1213	-	JAVENW010000013.1	3555	4768	1170
JAKELM010000019.1	0	1211	+	JAOQAX010000044.1	1647	2857	1111
JAKELM010000019.1	2816	4094	+	JAOQAX010000044.1	2890	3928	791
JACWCA010001204.1	0	4726	+	JAKELM010000019.1	0	4726	4726
JACWCA010001204.1	2816	4726	-	JAVENW010000013.1	1854	3524	1573
JACWCA010001204.1	0	1213	-	JAVENW010000013.1	3555	4768	1170
JACWCA010001204.1	0	1211	+	JAOQAX010000044.1	1647	2857	1111
JACWCA010001204.1	2816	4094	+	JAOQAX010000044.1	2890	3928	791
JAOQAX010000044.1	0	4726	-	JAVENW010000013.1	1686	6415	3958
