Phylum,ACC,Mbp,bp,EVE_Status,EVE_Count
Ascomycota,GCA_000151355.1,51.927682,51927682,Positive,1
Ascomycota,GCA_000313795.2,49.703497,49703497,Positive,1
Ascomycota,GCA_000465215.2,32.945941,32945941,Positive,1
Ascomycota,GCA_000497085.1,30.134942,30134942,Positive,1
Ascomycota,GCA_000687475.2,37.622617,37622617,Positive,1
Ascomycota,GCA_000769215.1,42.110671,42110671,Positive,1
Ascomycota,GCA_000800745.1,65.523996,65523996,Positive,1
Ascomycota,GCA_000836115.1,33.323769,33323769,Positive,1
Ascomycota,GCA_000965225.2,33.987284,33987284,Positive,1
Ascomycota,GCA_001481775.2,38.382194,38382194,Positive,1
Ascomycota,GCA_001483335.1,28.434067,28434067,Positive,1
Ascomycota,GCA_001644525.1,36.534003,36534003,Positive,1
Ascomycota,GCA_001644785.1,34.95476,34954760,Positive,1
Ascomycota,GCA_001653205.1,38.617348,38617348,Positive,1
Ascomycota,GCA_001653265.1,39.016364,39016364,Positive,1
Ascomycota,GCA_001672515.1,51.350067,51350067,Positive,1
Ascomycota,GCA_001684215.1,34.880734,34880734,Positive,1
Ascomycota,GCA_001913115.1,61.160353,61160353,Positive,1
Ascomycota,GCA_001936065.1,39.110784,39110784,Positive,1
Ascomycota,GCA_001936555.1,40.059863,40059863,Positive,1
Ascomycota,GCA_002249805.1,52.143869,52143869,Positive,1
Ascomycota,GCA_002927785.1,33.263224,33263224,Positive,1
Ascomycota,GCA_002968875.1,34.534184,34534184,Positive,1
Ascomycota,GCA_003025255.1,37.158698,37158698,Positive,1
Ascomycota,GCA_003070745.1,98.400281,98400281,Positive,3
Ascomycota,GCA_003116535.1,36.46932,36469320,Positive,1
Ascomycota,GCA_003574815.1,33.586609,33586609,Positive,1
Ascomycota,GCA_003698175.1,47.220494,47220494,Positive,1
Ascomycota,GCA_003788595.2,127.611054,127611054,Positive,1
Ascomycota,GCA_003946995.1,49.267964,49267964,Positive,1
Ascomycota,GCA_003953595.1,37.273525,37273525,Positive,1
Ascomycota,GCA_003953695.1,37.307818,37307818,Positive,1
Ascomycota,GCA_003957675.1,51.183739,51183739,Positive,2
Ascomycota,GCA_004786125.1,45.887973,45887973,Positive,1
Ascomycota,GCA_004916875.1,44.415336,44415336,Positive,1
Ascomycota,GCA_004917145.1,29.418888,29418888,Positive,1
Ascomycota,GCA_004917155.1,28.709568,28709568,Positive,1
Ascomycota,GCA_009801605.1,57.680531,57680531,Positive,1
Ascomycota,GCA_009803025.1,44.35647,44356470,Positive,1
Ascomycota,GCA_009804945.1,38.845031,38845031,Positive,1
Ascomycota,GCA_009805125.1,38.801684,38801684,Positive,1
Ascomycota,GCA_009805485.1,38.184436,38184436,Positive,1
Ascomycota,GCA_009805915.1,42.225213,42225213,Positive,1
Ascomycota,GCA_009806015.1,50.884519,50884519,Positive,1
Ascomycota,GCA_009806125.1,39.77627,39776270,Positive,1
Ascomycota,GCA_009806135.1,39.798532,39798532,Positive,1
Ascomycota,GCA_009806235.1,58.383694,58383694,Positive,1
Ascomycota,GCA_010015825.1,49.250356,49250356,Positive,1
Ascomycota,GCA_010093925.1,154.691619,154691619,Positive,1
Ascomycota,GCA_010211705.1,34.150647,34150647,Positive,1
Ascomycota,GCA_010405375.1,43.108517,43108517,Positive,1
Ascomycota,GCA_011034445.1,54.518375,54518375,Positive,1
Ascomycota,GCA_012959155.1,42.223853,42223853,Positive,1
Ascomycota,GCA_013305975.1,74.295833,74295833,Positive,1
Ascomycota,GCA_013436355.1,37.472009,37472009,Positive,1
Ascomycota,GCA_013623725.1,36.983888,36983888,Positive,1
Ascomycota,GCA_014065205.1,173.57892,173578920,Positive,5
Ascomycota,GCA_014065215.1,111.876104,111876104,Positive,1
Ascomycota,GCA_014235935.1,53.385986,53385986,Positive,1
Ascomycota,GCA_014235955.1,49.968568,49968568,Positive,1
Ascomycota,GCA_014898995.1,41.131265,41131265,Positive,1
Ascomycota,GCA_015178995.1,145.987104,145987104,Positive,1
Ascomycota,GCA_015179025.1,75.402848,75402848,Positive,4
Ascomycota,GCA_018104275.1,60.383369,60383369,Positive,1
Ascomycota,GCA_019395255.1,40.667414,40667414,Positive,1
Ascomycota,GCA_020498765.1,28.408859,28408859,Positive,1
Ascomycota,GCA_020499245.1,31.142455,31142455,Positive,1
Ascomycota,GCA_020499335.1,28.533623,28533623,Positive,1
Ascomycota,GCA_020499915.1,28.926566,28926566,Positive,1
Ascomycota,GCA_020500075.1,30.148781,30148781,Positive,1
Ascomycota,GCA_020500535.1,29.894272,29894272,Positive,1
Ascomycota,GCA_020500565.1,29.427645,29427645,Positive,1
Ascomycota,GCA_020501355.1,30.133591,30133591,Positive,1
